ID,Team1,Team2
1181768,MI,CSK
1181767,CSK,DCaps
1181766,DCaps,SRH
1181764,MI,CSK
1178430,KXIP,CSK
1178431,MI,KKR
1178428,DCaps,RR
1178429,RCB,SRH
1178427,KXIP,KKR
1178426,MI,SRH
1178425,CSK,DCaps
1178424,RCB,RR
1178423,SRH,KXIP
1178421,DCaps,RCB
1178422,KKR,MI
1178420,RR,SRH
1178419,CSK,MI
1178418,KKR,RR
1178417,RCB,KXIP
1178416,CSK,SRH
1178415,RR,DCaps
1178413,SRH,KKR
1178414,RCB,CSK
1178411,RR,MI
1178412,DCaps,KXIP
1178410,KKR,RCB
1178409,DCaps,MI
1178408,SRH,CSK
1178407,KXIP,RR
1178406,MI,RCB
1178404,KKR,CSK
1178405,SRH,DCaps
1178402,MI,RR
1178403,KXIP,RCB
1178401,KKR,DCaps
1178400,RR,CSK
1178399,MI,KXIP
1178398,CSK,KKR
1178397,KXIP,SRH
1178395,RCB,DCaps
1178396,RR,KKR
1178393,CSK,KXIP
1178394,SRH,MI
1175372,RCB,KKR
1175371,DCaps,SRH
1175370,MI,CSK
1175369,RR,RCB
1175368,KXIP,DCaps
1175366,SRH,RCB
1175367,CSK,RR
1175364,KXIP,MI
1175365,DCaps,KKR
1175363,SRH,RR
1175362,RCB,MI
1175361,KKR,KXIP
1175360,DCaps,CSK
1175359,RR,KXIP
1175357,KKR,SRH
1175358,MI,DCaps
1175356,CSK,RCB
1136620,CSK,SRH
1136619,KKR,SRH
1136618,KKR,RR
1136617,SRH,CSK
1136615,DD,MI
1136616,CSK,KXIP
1136613,RR,RCB
1136614,SRH,KKR
1136612,DD,CSK
1136611,RCB,SRH
1136610,MI,KXIP
1136609,KKR,RR
1136608,KXIP,RCB
1136606,CSK,SRH
1136607,MI,RR
1136604,KXIP,KKR
1136605,DD,RCB
1136603,RR,CSK
1136602,DD,SRH
1136601,KKR,MI
1136600,RR,KXIP
1136599,SRH,RCB
1136597,MI,KKR
1136598,KXIP,RR
1136595,CSK,RCB
1136596,SRH,DD
1136594,KXIP,MI
1136593,KKR,CSK
1136592,DD,RR
1136591,RCB,MI
1136590,CSK,DD
1136588,RR,SRH
1136589,RCB,KKR
1136587,CSK,MI
1136586,DD,KKR
1136585,SRH,KXIP
1136584,RCB,CSK
1136583,MI,SRH
1136582,DD,KXIP
1136580,SRH,CSK
1136581,RR,MI
1136578,KKR,KXIP
1136579,RCB,DD
1136577,CSK,RR
1136576,KXIP,SRH
1136575,RR,KKR
1136574,MI,RCB
1136573,KKR,DD
1136571,RCB,RR
1136572,KXIP,CSK
1136569,MI,DD
1136570,KKR,SRH
1136568,RCB,KXIP
1136567,SRH,MI
1136566,RR,DD
1136565,CSK,KKR
1136564,SRH,RR
1136562,KXIP,DD
1136563,KKR,RCB
1136561,MI,CSK
1082650,MI,RPS
1082649,MI,KKR
1082648,SRH,KKR
1082647,MI,RPS
1082645,RPS,KXIP
1082646,DD,RCB
1082643,GL,SRH
1082644,KKR,MI
1082642,DD,RPS
1082641,MI,KXIP
1082640,GL,DD
1082639,KXIP,KKR
1082638,SRH,MI
1082636,RCB,KKR
1082637,KXIP,GL
1082634,SRH,RPS
1082635,DD,MI
1082633,RCB,KXIP
1082632,DD,GL
1082631,KKR,RPS
1082630,DD,SRH
1082628,MI,RCB
1082629,RPS,GL
1082626,KXIP,DD
1082627,SRH,KKR
1082624,RPS,RCB
1082625,GL,MI
1082622,KKR,DD
1082623,KXIP,SRH
1082621,RCB,GL
1082620,RPS,KKR
1082618,MI,RPS
1082616,GL,KXIP
1082617,KKR,RCB
1082614,MI,DD
1082615,RPS,SRH
1082613,KKR,GL
1082612,KXIP,MI
1082611,SRH,DD
1082610,GL,RCB
1082608,DD,KKR
1082609,SRH,KXIP
1082606,MI,GL
1082607,RCB,RPS
1082604,KKR,SRH
1082605,DD,KXIP
1082602,RCB,MI
1082603,GL,RPS
1082601,KKR,KXIP
1082600,MI,SRH
1082599,RPS,DD
1082598,KXIP,RCB
1082596,SRH,GL
1082597,MI,KKR
1082594,KXIP,RPS
1082595,RCB,DD
1082593,GL,KKR
1082592,RPS,MI
1082591,SRH,RCB
981019,RCB,SRH
981017,GL,SRH
981015,SRH,KKR
981013,GL,RCB
981009,KKR,SRH
981011,DD,RCB
981005,RPSs,KXIP
981007,GL,MI
981003,DD,SRH
981001,GL,KKR
980999,RCB,KXIP
980997,RPSs,DD
980995,KKR,RCB
980991,KXIP,SRH
980993,MI,DD
980987,RCB,GL
980989,KKR,RPSs
980985,MI,KXIP
980983,SRH,DD
980981,RCB,MI
980979,RPSs,SRH
980977,KXIP,RCB
980973,MI,SRH
980975,KKR,GL
980969,RCB,RPSs
980971,KXIP,DD
980967,SRH,GL
980965,DD,RPSs
980963,KKR,KXIP
980961,GL,DD
980959,RCB,KKR
980955,GL,KXIP
980957,RPSs,MI
980951,DD,KKR
980953,SRH,RCB
980949,RPSs,GL
980947,MI,KKR
980945,DD,GL
980943,SRH,RPSs
980941,KXIP,MI
980937,GL,RCB
980939,RPSs,KKR
980933,DD,MI
980935,SRH,KXIP
980931,RPSs,RCB
980929,GL,SRH
980927,MI,RCB
980925,KXIP,KKR
980923,SRH,MI
980919,KXIP,RPSs
980921,RCB,DD
980915,SRH,KKR
980917,MI,GL
980913,DD,KXIP
980911,GL,RPSs
980909,KKR,MI
980907,RCB,SRH
980905,KXIP,GL
980903,KKR,DD
980901,MI,RPSs
829823,MI,CSK
829821,CSK,RCB
829819,RCB,RR
829817,CSK,MI
829813,RCB,DD
829815,SRH,MI
829809,KXIP,CSK
829811,RR,KKR
829807,SRH,RCB
829805,MI,KKR
829803,KXIP,RCB
829801,DD,CSK
829799,SRH,KXIP
829795,MI,RCB
829797,CSK,RR
829791,KKR,KXIP
829793,DD,SRH
829789,CSK,MI
829761,KKR,DD
829787,RR,SRH
829785,RCB,KXIP
829783,MI,DD
829779,CSK,RCB
829781,KKR,SRH
829775,KXIP,MI
829777,RR,DD
829771,RCB,KKR
829773,SRH,CSK
829767,DD,KXIP
829769,MI,RR
829723,KKR,CSK
829763,RCB,RR
829765,CSK,KKR
829759,KXIP,SRH
829757,DD,RCB
829751,MI,SRH
829753,CSK,KXIP
829749,RR,RCB
829747,DD,MI
829743,SRH,KKR
829745,RCB,CSK
829741,RR,KXIP
829739,DD,KKR
829735,RR,CSK
829737,RCB,MI
829731,SRH,DD
829733,KXIP,KKR
829729,MI,CSK
829727,SRH,RR
829725,KXIP,DD
829721,RR,MI
829719,RCB,SRH
829715,DD,RR
829717,MI,KXIP
829711,CSK,SRH
829713,KKR,RCB
829709,KXIP,RR
829707,CSK,DD
829705,KKR,MI
734049,KKR,KXIP
734047,CSK,KXIP
734045,CSK,MI
734043,KXIP,KKR
